Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"South Carolina FCU","South Carolina FCU","South Carolina FCU Zelle 2LD S","true","true","https://www.scfederal.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2LD.png","","https://www.scfederal.org/zelle"
"South Central Bank","South Central Bank","South Central Bank Zelle 3EX S","true","true","https://www.southcentralbank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3EX.png","","https://www.southcentralbank.com/zelle"
"South Metro Federal CU","South Metro Federal CU","South Metro Federal CU Zelle 2MC S","true","true","https://www.southmet.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2MC.png","","https://www.southmet.com/zelle"
"South Shore Bank","South Shore Bank","South Shore Bank Zelle 0TC S","true","true","https://www.southshorebank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0TC.png","","https://www.southshorebank.com/zelle"
"South Story Bank & Trust","South Story Bank & Trust","South Story Bank & Trust Zelle 2LT S","true","true","https://images.printable.com/nonimpositions/22712/403682/22712_403682_srykkc50_press.html","Active","https://enroll.zellepay.com/logos/zellepay/2LT.png","","https://images.printable.com/nonimpositions/22712/403682/22712_403682_srykkc50_press.html"
"Southeastern Credit Union","Southeastern Credit Union","Southeastern Credit Union Zelle JCZ S","true","true","https://southeasterncu.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JCZ.png","","https://southeasterncu.com/zelle"
"Southern Bank","Southern Bank","Southern Bank Zelle 31L S","true","true","https://www.bankwithsouthern.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/31L.png","","https://www.bankwithsouthern.com/zelle/"
"Southern Bank and Trust Co","Southern Bank and Trust Co","Southern Bank and Trust Co Zelle 0GM S","true","true","https://www.southernbank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0GM.png","","https://www.southernbank.com/zelle"
"Southern Bank of Tennessee","Southern Bank of Tennessee","Southern Bank of Tennessee Zelle JP9 S","true","true","https://www.southernbankoftn.com/resources/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JP9.png","","https://www.southernbankoftn.com/resources/zelle"
"Southern Energy Credit Union","Southern Energy Credit Union","Southern Energy Credit Union Zelle 37X S","true","true","https://www.southernenergycu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/37X.png","","https://www.southernenergycu.org/zelle"
"Southern Federal CU Tx","Southern Federal CU Tx","Southern Federal CU Tx Zelle 3HR S","true","true","https://www.southernfederalcu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3HR.png","","https://www.southernfederalcu.org/zelle"
"Southern First Bank","Southern First Bank","Southern First Bank Zelle 0DB S","true","true","https://www.southernfirst.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0DB.png","","https://www.southernfirst.com/zelle"
"Southern Independent Bank","Southern Independent Bank","Southern Independent Bank Zelle 2TV S","true","true","https://www.southernindependentbank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2TV.png","","https://www.southernindependentbank.com/zelle"
"Southern Michigan Bank and Tru","Southern Michigan Bank and Tru","Southern Michigan Bank and Tru Zelle J0V S","true","true","https://zelle.jhapaycenter.com/J0V.html","Active","https://enroll.zellepay.com/logos/zellepay/J0V.png","","https://zelle.jhapaycenter.com/J0V.html"
"Southland Credit Union","Southland Credit Union","Southland Credit Union Zelle 0JL S","true","true","https://www.southlandcu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0JL.png","","https://www.southlandcu.org/zelle"
"SouthPoint Financial CU","SouthPoint Financial CU","SouthPoint Financial CU Zelle 2EC S","true","true","https://www.southpointfinancial.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2EC.png","","https://www.southpointfinancial.com/zelle/"
"Southside Bank","Southside Bank","Southside Bank Zelle 2XK S","true","true","https://www.southside.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2XK.png","","https://www.southside.com/zelle/"
"SouthStar Bank","SouthStar Bank","SouthStar Bank Zelle 2ZZ S","true","true","https://southstarbank.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2ZZ.png","","https://southstarbank.com/zelle"
"SouthState","SouthState","SouthState Zelle 22N S","true","true","https://www.southstatebank.com/personal/bank/online-and-mobile-banking/zelle","Active","https://enroll.zellepay.com/logos/zellepay/22N.png","","https://www.southstatebank.com/personal/bank/online-and-mobile-banking/zelle"
"SouthTrust Bank","SouthTrust Bank","SouthTrust Bank Zelle JNR S","true","true","https://www.southtrust.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JNR.png","","https://www.southtrust.com/zelle"
"Southwest Airlines FCU","Southwest Airlines FCU","Southwest Airlines FCU Zelle JQE S","true","true","https://images.printable.com/nonimpositions/22953/486463/22953_486463_si4csgno_press.html","Active","https://enroll.zellepay.com/logos/zellepay/JQE.png","","https://images.printable.com/nonimpositions/22953/486463/22953_486463_si4csgno_press.html"
"SouthWest Bank","SouthWest Bank","SouthWest Bank Zelle JMB S","true","true","https://southwest.bank/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JMB.png","","https://southwest.bank/zelle"
"Southwest Financial FCU","Southwest Financial FCU","Southwest Financial FCU Zelle 0PM S","true","true","https://www.swfinancial.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0PM.png","","https://www.swfinancial.org/zelle"
"Southwest Louisiana CU","Southwest Louisiana CU","Southwest Louisiana CU Zelle 2Q1 S","true","true","https://www.swlacu.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/2Q1.png","","https://www.swlacu.com/zelle"
"Southwest Missouri Bank","Southwest Missouri Bank","Southwest Missouri Bank Zelle JD0 S","true","true","https://www.smbonline.com/online/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JD0.png","","https://www.smbonline.com/online/zelle"
"Southwest National Bank","Southwest National Bank","Southwest National Bank Zelle 0OD S","true","true","https://www.southwestnb.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0OD.png","","https://www.southwestnb.com/zelle"
"Southwest Oklahoma FCU","Southwest Oklahoma FCU","Southwest Oklahoma FCU Zelle 2TM S","true","true","https://images.printable.com/nonimpositions/22712/437571/22712_437571_vs3wxwpi_press.html","Active","https://enroll.zellepay.com/logos/zellepay/2TM.png","","https://images.printable.com/nonimpositions/22712/437571/22712_437571_vs3wxwpi_press.html"
"Southwestern National Bank","Southwestern National Bank","Southwestern National Bank Zelle 0EI S","true","true","https://www.swnbk.com/additional-services/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0EI.png","","https://www.swnbk.com/additional-services/zelle"
"Sovereign Bank","Sovereign Bank","Sovereign Bank Zelle 2MX S","true","true","https://images.printable.com/nonimpositions/22712/423796/22712_423796_kabe3xoo_press.html","Active","https://enroll.zellepay.com/logos/zellepay/2MX.png","","https://images.printable.com/nonimpositions/22712/423796/22712_423796_kabe3xoo_press.html"
"Sovita Credit Union","Sovita Credit Union","Sovita Credit Union Zelle JND S","true","true","https://www.sovitacu.org/zelle","Active","https://enroll.zellepay.com/logos/zellepay/JND.png","","https://www.sovitacu.org/zelle"
"Space City Credit Union","Space City Credit Union","Space City Credit Union Zelle 2KP S","true","true","https://www.spacecitycu.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/2KP.png","","https://www.spacecitycu.com/zelle/"
